Ward no,What is the name of your ward?,Did you vote in the last BBMP elections (2010)?,Mention the elections that you voted in.,Who is your corporator?,What are the problems you face in your area? Issue 1,What are the problems you face in your area? Issue 2,What are the problems you face in your area? Issue 3,What are the problems you face in your area? Issue 4,What are the problems you face in your area? Issue 5,What are the problems you face in your area? Issue 6,What are the problems you face in your area? Issue 7,What are the problems you face in your area? Issue 8,What are the problems you face in your area? Issue 9,The issues to which the councillor gave importance [Hospitals/Primary health care centre],The issues to which the councillor gave importance [Building and Zoning Regulations],The issues to which the councillor gave importance [Restoration of lakes],"The issues to which the councillor gave importance [Roads, footpath]",The issues to which the councillor gave importance [Street lights],"The issues to which the councillor gave importance [Public facilities/basic amenities - playground, parks, public toilets etc.]",The issues to which the councillor gave importance [Cleanliness and garbage clearance],"The issues to which the councillor gave importance [Encroachment of public land, lakes and roads]",The issues to which the councillor gave importance [Public schooling],The issues to which the councillor gave importance [Public health & sanitation],"How did she/he perform at the ward level, on each of the above issues? [Hospitals/Primary health care centre]","How did she/he perform at the ward level, on each of the above issues? [Building and Zoning Regulations]","How did she/he perform at the ward level, on each of the above issues? [Restoration of lakes]","How did she/he perform at the ward level, on each of the above issues? [Roads, footpath]","How did she/he perform at the ward level, on each of the above issues? [Street lights]","How did she/he perform at the ward level, on each of the above issues? [Public facilities/basic amenities - playground, parks, public toilets etc.]","How did she/he perform at the ward level, on each of the above issues? [Cleanliness and garbage clearance]","How did she/he perform at the ward level, on each of the above issues? [Encroachment of public land/lakes]","How did she/he perform at the ward level, on each of the above issues? [Encouraging public schooling]","How did she/he perform at the ward level, on each of the above issues? [Public health and sanitation]",Rate your corporator. [Interaction with public],Rate your corporator. [Accessible to public],Rate your corporator. [How trustworthy is your corporator?],Rate your corporator. [How corrupt is your corporator?],"Do you think your current corporator acted independently, free of pressure from family members or friends?","Would you vote for your current corporator, if she/he contests elections once again? *",What is important to you during an election?,What is important to you during an election? 2,What is important to you during an election? 3,What is important to you during an election? 4,What is important to you during an election? 5,What is important to you during an election? 6,"Who is the leader who can help solve Bangalore's problems, according to you?","Which party's candidate are you likely to vote for, in BBMP elections 2015?",Which political party represents Bangalore's interest best?,Age,Educational Qualification,Occupation,Monthly - family income levels,Gender,What are the languages you speak?,What are the languages you speak? 2,What are the languages you speak? 3,What are the languages you speak? 4,What are the languages you speak? 5,What are the languages you speak? 6,
84,Hagaduru,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",HA Srinivasa,No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets,,,,,,4,5 - High Importance,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,4,4,5 - High Importance,3 - Average,3 - Average,3 - Average,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,2 - Poor,3 - Average,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Past work record of candidate, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,,,,Party doesn't matter; candidate does,BJP,31-40,Post graduate,IT/ITES,"Between Rs 10,000 and Rs 25,000",Male,Tamil, Hindi, English,,,,
139,K.R Market,No - other reasons,Parliament elections 2014,,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,High,No,No,Candidate's individual capabilities, Clean image of candidate,,,,,S M Krishna,BJP candidate,BJP,21-25,Graduate diploma/degree,IT/ITES,"Above Rs 2,00,000",Male,Kannada, Telugu, Hindi, English,,,
7,Byatarayanapura,Yes,"Assembly elections 2013, Parliament elections 2014",Pillappa ME,Garbage black spots, Lack of public toilets,,,,,,,,2,1 - Low Importance,2,2,2,5 - High Importance,5 - High Importance,3,2,2,2 - Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,4 - Good,4 - Good,2 - Poor,2 - Poor,2 - Poor,Low,Low,Low,High,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,,Party doesn't matter; candidate does,BJP,25-30,Graduate diploma/degree,Business/self employed,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Hindi, English,,,,
9,Vidyaranyapura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Mrs. Nandini Srinivas,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land, Frequent Power Cuts,,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1- Very Poor,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,Low,Low,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,"Somebody who can fix Bengaluru's Civic Issues through expedited resolutions and community actions, somebody who wants to work for making Bengaluru a better city than making money for themselves. Somebody WHO CAN WALK THEIR TALK, than just talking.",Party doesn't matter; candidate does,Party Does not matter,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Malayalam, Hindi, English,,
76,Gayithri Nagar,Yes,Parliament elections 2014,Chetan Gowda,Garbage black spots, Bad roads with potholes, Lack of public toilets,,,,,,,1 - Low Importance,1 - Low Importance,Not applicable,2,3,2,1 - Low Importance,Not applicable,2,1 - Low Importance,2 - Poor,2 - Poor,Not applicable,2 - Poor,2 - Poor,2 - Poor,1- Very Poor,Not applicable,Not applicable,1- Very Poor,Zero,Zero,Zero,Can't say,No,I'm not interested in voting in this election.,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,no one,Party doesn't matter; candidate does,BJP,31-40,Graduate diploma/degree,Public sector Employee,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Hindi, English,,,,
83,Kadugodi,No - I was not on the voters list,Parliament elections 2014,,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land,,,,,2,2,1 - Low Importance,1 - Low Importance,2,2,2,2,2,1 - Low Importance,2 - Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Urdu, Hindi, English,,,
87,H.A.L Airport,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Encroachment of public land,,,,,,Not applicable,Not applicable,5 - High Importance,5 - High Importance,3,5 - High Importance,5 - High Importance,Not applicable,Not applicable,5 - High Importance,5 - Very Good,1- Very Poor,1- Very Poor,1- Very Poor,Not applicable,2 - Poor,5 - Very Good,1- Very Poor,Not applicable,Not applicable,Very high,Very high,Very high,Low,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,modi,Party doesn't matter; candidate does,BJP,41-50,Graduate diploma/degree,Business/self employed,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Hindi, English,,,
85,Doddanekundi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",NR Sridhar Reddy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,2,2,3,2,4,2,3,1 - Low Importance,2,3,2 - Poor,1- Very Poor,2 - Poor,3 - Average,4 - Good,3 - Average,3 - Average,1- Very Poor,3 - Average,2 - Poor,Very high,Very high,Medium,Very high,Yes,Yes,Political party of the candidate, Candidate's personality/ charm,,,,,Narendra Modi,BJP candidate,BJP,41-50,Post graduate,IT/ITES,"Above Rs 2,00,000",Male,Kannada, Hindi, English,,,,
147,Adugodi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,3,5 - High Importance,4,5 - High Importance,5 - High Importance,4,5 - High Importance,5 - High Importance,4,4,1- Very Poor,1- Very Poor,1- Very Poor,2 - Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,Ashwin Mahesh,Loksatta candidate,Loksatta,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Malayalam, Hindi, English,,,
85,Doddanekundi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",N Sridhar Reddy,Garbage black spots, Non-collection of garbage from your home, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Water Problem,,,2,1 - Low Importance,4,1 - Low Importance,2,2,2,3,3,1 - Low Importance,1- Very Poor,4 - Good,1- Very Poor,1- Very Poor,2 - Poor,3 - Average,1- Very Poor,2 - Poor,2 - Poor,2 - Poor,Zero,Zero,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,None,Party doesn't matter; candidate does,None,41-50,Graduate diploma/degree,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Hindi, English,,,,,
85,Doddanekundi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Sridhar Reddy,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Medium,Medium,Zero,Very high,Yes,Yes,Candidate's individual capabilities, Clean image of candidate,,,,,Narayana Murthy,Party doesn't matter; candidate does,BBMP Administrator,41-50,Post graduate,Private Firm Employee,"Above Rs 2,00,000",Male,Tamil, English,,,,,
52,K.R.Puram,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Pillapa,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,"Arvind Kejriwal, Nadan Nilekani",AAP candidate,Aam Aadmi Party,41-50,Post graduate,Business/self employed,"Above Rs 2,00,000",Male,Kannada, Tamil, Hindi, English,,,
85,Doddanekundi,No - I was not on the voters list,I did not vote in any election,N. Sridhar Reddy,No street lights, Bad roads with potholes, Lack of parks and playgrounds,,,,,,,Not applicable,Not applicable,3,2,2,2,3,3,Not applicable,Not applicable,Not applicable,Not applicable,3 - Average,2 - Poor,2 - Poor,2 - Poor,3 - Average,3 - Average,Not applicable,Not applicable,Low,Low,Low,Medium,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,None of the existing ones,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Telugu, Hindi, English,,,,
83,Kadugodi,No - other reasons,I did not vote in any election,,Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,2,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Nandan Nilekani,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Graduate diploma/degree,Private Firm Employee,"Above Rs 2,00,000",Male,Kannada, Hindi, English,,,,
52,K.R.Puram,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Low,Low,Low,Low,No,No,Candidate's individual capabilities, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,,NOTA,NOTA,25-30,Post graduate,Private Firm Employee,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Hindi, English,,,,
174,H.S.R. Layout,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",Lata Narasimhamurthy,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, KCDC smell affecting living & health,1 - Low Importance,1 - Low Importance,1 - Low Importance,3,2,3,2,1 - Low Importance,2,2,2 - Poor,1- Very Poor,1- Very Poor,3 - Average,3 - Average,3 - Average,2 - Poor,1- Very Poor,2 - Poor,2 - Poor,Low,Medium,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate,,,"People like Nandan Nilkhani, few social activists who are professional in attitude & care about development of the place",Loksatta candidate,"Loksatta, Aam Aadmi Party",41-50,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Tamil, Hindi, English,,,,
150,Bellandur,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",Babu Reddy,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds,,,,,2,1 - Low Importance,2,2,4,1 - Low Importance,3,2,2,2,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Candidate's personality/ charm,,,Party doesn't matter; candidate does,,31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, English,,,,,
150,Bellandur,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",J.Varalakshmi,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Manifesto or promises, Clean image of candidate,,,,None,BJP candidate,BJP,31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, English,,,,,
9,Vidyaranyapura,No - I was not on the voters list,I did not vote in any election,Nandini Srinivasa,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,,Party doesn't matter; candidate does,"Loksatta, Aam Aadmi Party",31-40,Graduate diploma/degree,Business/self employed,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Urdu, Hindi, English,,
1,Kempegowda Ward,No - I was not on the voters list,"Assembly elections 2013, Parliament elections 2014",K Chandrasekhar,Garbage black spots, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Encroachment of public land,,,,,3,3,2,4,4,4,4,2,2,4,3 - Average,3 - Average,2 - Poor,4 - Good,4 - Good,4 - Good,4 - Good,2 - Poor,2 - Poor,4 - Good,Medium,Medium,High,Medium,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm,,,,,25-30,Graduate diploma/degree,Business/self employed,"Between Rs 10,000 and Rs 25,000",Male,Kannada, English,,,,,
148,Ejeepura,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Ms Saroja,Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land, sewage flowing through storm-water drains,,,,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Mr Ravichander - not a politician,Party doesn't matter; candidate does,Loksatta,60+,Graduate diploma/degree,Retired,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Tamil, Malayalam, Hindi, English, TULU,
58,New Thippasandra,No - other reasons,I did not vote in any election,Sumithra Vijaykumar BJP,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets,,,,,3,3,3,3,3,3,3,3,3,3,2 - Poor,1- Very Poor,Not applicable,1- Very Poor,2 - Poor,2 - Poor,2 - Poor,Not applicable,3 - Average,2 - Poor,Can't say,Can't say,Can't say,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,Congress candidate,Congress,25-30,Post graduate,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Hindi, English,,,,,
9,Vidyaranyapura,No - other reasons,I wasn't have voter id,nandhini srinivas,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets,,,3,3,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,2,5 - High Importance,Not applicable,Not applicable,5 - Very Good,Not applicable,4 - Good,Not applicable,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,High,High,High,Can't say,Yes,Yes,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Caste/religion, Political party of the candidate,nandhini srinivas,BJP candidate,BJP,Less than 20,Graduate diploma/degree,Student,"Between Rs 10,000 and Rs 25,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
84,Hagaduru,No - I was not on the voters list,Parliament elections 2014,H.A. Srinivas,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Very high,No,No,Candidate's individual capabilities, Clean image of candidate,,,,,,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Graduate diploma/degree,Professional (Medical/Law/CA),"Between Rs 1,00,000 and Rs 2,00,000",Male,Hindi, English,,,,,
52,K.R.Puram,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Veerana,Stupid survey,,,,,,,,,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - High Importance,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,Very high,Very high,Very high,Very high,Yes,Yes,Candidate's individual capabilities, Manifesto or promises,,,,,Modi,BJP candidate,BJP,31-40,Graduate diploma/degree,Private Firm Employee,"Between Rs 25,000 and Rs 50,000",Male,Kannada, Tamil, Telugu, Hindi, English,,
133,Hampi Nagar,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Chandrashekaiah ,Garbage black spots, Bad roads with potholes, Lack of parks and playgrounds, Encroachment of public land, Misuse of childrens playground ,,,,,1 - Low Importance,1 - Low Importance,Not applicable,1 - Low Importance,2,1 - Low Importance,2,Not applicable,2,2,1- Very Poor,1- Very Poor,Not applicable,1- Very Poor,2 - Poor,1- Very Poor,2 - Poor,Not applicable,2 - Poor,2 - Poor,Low,Low,Zero,Low,No,No,Clean image of candidate,,,,,,,Congress candidate,Congress,41-50,Post graduate,Business/self employed,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Hindi, English,,,,
191,Singasandra,No - I was not on the voters list,I did not vote in any election,Reddy,Garbage black spots, Non-collection of garbage from your home, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling,4,4,5 - High Importance,5 - High Importance,4,5 - High Importance,4,4,2,4,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,Yes,No,Past work record of candidate, Manifesto or promises, Clean image of candidate,,,,Kejriwal,Party doesn't matter; candidate does,Aam Aadmi Party,31-40,Post graduate,IT/ITES,"Above Rs 2,00,000",Male,Hindi,,,,,,
181,Kumaraswamy Layout,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Suresh,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Encroachment of public land,,,,3,1 - Low Importance,3,1 - Low Importance,1 - Low Importance,5 - High Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,3 - Average,1- Very Poor,3 - Average,1- Very Poor,1- Very Poor,5 - Very Good,1- Very Poor,1- Very Poor,3 - Average,2 - Poor,Low,Low,Low,High,No,No,Candidate's individual capabilities, Past work record of candidate, Manifesto or promises, Clean image of candidate, Political party of the candidate, Corruption and scams of the party elsewhere in India,"Mohandas Pai,Pratap Simha",Party doesn't matter; candidate does,BJP,31-40,Graduate diploma/degree,Private Firm Employee,"Above Rs 2,00,000",Male,Kannada, Hindi, English,,,,
86,Marathhalli,No - I did not like the candidates,I did not vote in any election,Varalaxmi,Garbage black spots, Bad roads with potholes, Unwalkable footpaths, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,,,1 - Low Importance,2,3,1 - Low Importance,3,1 - Low Importance,3,1 - Low Importance,3,1 - Low Importance,2 - Poor,2 - Poor,3 - Average,1- Very Poor,3 - Average,1- Very Poor,3 - Average,2 - Poor,1- Very Poor,1- Very Poor,Low,Low,Can't say,Can't say,No,No,Candidate's individual capabilities, Clean image of candidate,,,,,"Mishra, Kiran Mazumdar",AAP candidate,Aam Aadmi Party,41-50,Post graduate,IT/ITES,"Between Rs 1,00,000 and Rs 2,00,000",Male,Kannada, Hindi, English,,,,
86,Marathhalli,No - I was not interested,"Assembly elections 2013, Parliament elections 2014",Varalakshmi ,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Lack of government schooling, Encroachment of public land,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate,,,,Dont Know,BJP candidate,BJP,31-40,Graduate diploma/degree,IT/ITES,"Between Rs 50,000 and Rs 1,00,000",Male,Kannada, Telugu, English,,,,
85,Doddanekundi,No - I was not on the voters list,I did not vote in any election,,Garbage black spots, No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of primary health centres, Lack of public toilets, Lack of parks and playgrounds, Encroachment of public land,,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1 - Low Importance,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,1- Very Poor,Zero,Zero,Zero,Zero,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Corruption and scams of the party elsewhere in India,,,,Party doesn't matter; candidate does,None,31-40,Post graduate,IT/ITES,"Above Rs 2,00,000",Male,Hindi, English, Bengali,,,,
85,Doddanekundi,Yes,"BBMP elections 2010, Assembly elections 2013, Parliament elections 2014",Sridhar Reddy,No street lights, Bad roads with potholes, Unwalkable footpaths, Lack of parks and playgrounds, Wires hanging in hazardous manner,,,,,3,1 - Low Importance,3,1 - Low Importance,2,1 - Low Importance,2,3,2,1 - Low Importance,2 - Poor,2 - Poor,4 - Good,1- Very Poor,2 - Poor,1- Very Poor,2 - Poor,2 - Poor,2 - Poor,2 - Poor,Low,Low,Low,Can't say,No,No,Candidate's individual capabilities, Past work record of candidate, Clean image of candidate, Political party of the candidate, Candidate's personality/ charm, Corruption and scams of the party elsewhere in India,"Kiran Majumdhar, Mohandas Pai, Chandrashekar, Narayan Murty, ",BJP candidate,Aam Aadmi Party,41-50,Doctorate,IT/ITES,"Between Rs 25,000 and Rs 50,000",Male,Kannada, English,,,,,
